"","Player","GP","Score","ScoreSqr","Goals","GoalsSqr","Assists","AssistsSqr","Saves","SavesSqr","Shots","ShotsSqr"
"Lethamyr","Lethamyr",9,3293,1348455,7,11,6,8,11,23,29,139
"Memory","Memory",9,3579,1600837,7,9,3,3,19,57,20,60
"Allushin","Allushin",9,2356,718876,1,1,2,2,9,15,21,61
"JSTN","JSTN",4,2069,1084191,4,4,1,1,9,21,14,58
"GarrettG","GarrettG",4,1502,633562,1,1,4,6,7,15,9,23
"Fireburner","Fireburner",4,1736,934704,4,6,2,2,6,18,14,60
"Karma","Karma",8,2935,1252645,5,5,5,9,11,25,17,43
"JWismont","JWismont",8,2745,1072183,3,3,2,2,13,35,13,31
"DudeWithTheNose","DudeWithTheNose",8,2826,1154376,5,7,3,3,14,36,16,44
"Torment","Torment",3,1143,438405,5,9,1,1,1,1,11,43
"Gimmick","Gimmick",3,1280,616478,2,4,4,6,5,9,10,46
"SquishyMuffinz","SquishyMuffinz",3,1089,402909,2,2,2,2,3,5,8,30
"CorruptedG","CorruptedG",5,2722,1680556,6,10,5,11,12,40,15,51
"Klassux","Klassux",5,2120,1144514,4,10,5,13,8,22,14,46
"Drippay","Drippay",5,2392,1603546,5,11,2,2,13,55,15,51
"Wonder","Wonder",5,1997,976381,5,9,3,5,7,15,16,90
"Kronovi","Kronovi",5,2032,901276,5,9,1,1,9,19,12,44
"AyyJayy","AyyJayy",5,1747,773501,2,2,5,17,6,10,19,99
"JKnaps","JKnaps",5,2163,1070237,4,4,3,5,10,30,12,38
"Chicago","Chicago",5,2533,1497285,6,12,5,7,8,18,22,132
"Rizzo","Rizzo",5,1726,634446,2,2,4,4,8,18,10,22
"Satthew","Satthew",5,1963,871937,5,9,1,1,8,18,18,88
"AxB","AxB",5,1775,738095,4,6,2,2,6,8,13,41
"Sypical","Sypical",5,2007,1003845,2,2,3,3,8,14,20,106
"Ronaky","Ronaky",9,3591,1563423,7,15,6,10,11,21,40,218
"Kassio","Kassio",9,3436,1629296,7,13,2,2,14,44,28,116
"Tadpole","Tadpole",9,3381,1344315,3,3,7,13,13,25,35,169
"kuxir97","kuxir97",5,2416,1222726,5,9,2,2,10,22,18,72
"Speed","Speed",5,1106,267386,2,2,0,0,4,6,9,19
"miztik","miztik",5,2010,1075522,3,5,3,3,10,38,15,67
"al0t","al0t",8,3929,2326123,9,21,4,4,17,63,21,81
"Tigreee","Tigreee",8,3153,1442395,2,2,5,9,21,69,9,15
"Alex161","Alex161",8,3489,1918755,6,8,7,7,16,64,20,68
"EyeIgnite","EyeIgnite",4,1398,513140,4,4,2,4,4,8,12,48
"Metsanauris","Metsanauris",4,1277,434709,1,1,4,4,6,10,9,25
"remkoe","remkoe",4,1330,494754,4,6,1,1,5,11,11,31
"Scrub Killa","Scrub Killa",4,1602,705836,3,5,4,10,8,22,9,23
"Kaydop","Kaydop",4,1861,873075,3,3,3,3,10,30,7,13
"Fairy Peak","Fairy Peak",4,1974,1080842,4,10,2,2,12,36,10,36
"Chausette45","Chausette45",4,902,224006,0,0,1,1,4,8,7,17
"fruity","fruity",4,1226,428750,2,4,0,0,5,17,10,30
"Ferra","Ferra",4,919,267577,1,1,1,1,3,9,19,93
"Yukeo","Yukeo",4,982,278964,1,1,1,1,3,3,9,23
"Turbopolsa","Turbopolsa",4,1341,475835,3,5,0,0,7,15,7,13
"ViolentPanda","ViolentPanda",4,1106,308438,0,0,2,2,5,7,8,22
"Alpha54","Alpha54",4,1525,582293,2,2,2,2,7,13,15,57
"Deevo","Deevo",4,1105,312641,3,3,1,1,4,6,5,7
"Bluey","Bluey",4,1142,347354,1,1,2,2,5,7,5,7
